Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona1;2020-03-01 00:00:00+01:00;655
uniqueUserZone;OWM Zona9;2020-02-29 00:00:00+01:00;348
uniqueUserZone;OWM Zona8;2020-02-29 00:00:00+01:00;362
uniqueUserZone;OWM Zona7;2020-02-29 00:00:00+01:00;432
uniqueUserZone;OWM Zona6;2020-02-29 00:00:00+01:00;554
uniqueUserZone;OWM Zona5;2020-02-29 00:00:00+01:00;255
uniqueUserZone;OWM Zona4;2020-02-29 00:00:00+01:00;393
uniqueUserZone;OWM Zona3;2020-02-29 00:00:00+01:00;526
uniqueUserZone;OWM Zona2;2020-02-29 00:00:00+01:00;346
uniqueUserZone;OWM Zona1;2020-02-29 00:00:00+01:00;830
uniqueUserZone;OWM Zona9;2020-02-28 00:00:00+01:00;387
uniqueUserZone;OWM Zona8;2020-02-28 00:00:00+01:00;444
uniqueUserZone;OWM Zona7;2020-02-28 00:00:00+01:00;492
uniqueUserZone;OWM Zona6;2020-02-28 00:00:00+01:00;720
uniqueUserZone;OWM Zona5;2020-02-28 00:00:00+01:00;330
uniqueUserZone;OWM Zona4;2020-02-28 00:00:00+01:00;426
uniqueUserZone;OWM Zona3;2020-02-28 00:00:00+01:00;579
uniqueUserZone;OWM Zona2;2020-02-28 00:00:00+01:00;423
uniqueUserZone;OWM Zona1;2020-02-28 00:00:00+01:00;982
uniqueUserZone;OWM Zona9;2020-02-27 00:00:00+01:00;386
uniqueUserZone;OWM Zona8;2020-02-27 00:00:00+01:00;397
uniqueUserZone;OWM Zona7;2020-02-27 00:00:00+01:00;465
uniqueUserZone;OWM Zona6;2020-02-27 00:00:00+01:00;655
uniqueUserZone;OWM Zona5;2020-02-27 00:00:00+01:00;292
uniqueUserZone;OWM Zona4;2020-02-27 00:00:00+01:00;427
uniqueUserZone;OWM Zona3;2020-02-27 00:00:00+01:00;592
uniqueUserZone;OWM Zona2;2020-02-27 00:00:00+01:00;394
uniqueUserZone;OWM Zona1;2020-02-27 00:00:00+01:00;968
uniqueUserZone;OWM Zona9;2020-02-26 00:00:00+01:00;367
uniqueUserZone;OWM Zona8;2020-02-26 00:00:00+01:00;417
uniqueUserZone;OWM Zona7;2020-02-26 00:00:00+01:00;430
uniqueUserZone;OWM Zona6;2020-02-26 00:00:00+01:00;664
uniqueUserZone;OWM Zona5;2020-02-26 00:00:00+01:00;276
uniqueUserZone;OWM Zona4;2020-02-26 00:00:00+01:00;409
uniqueUserZone;OWM Zona3;2020-02-26 00:00:00+01:00;579
uniqueUserZone;OWM Zona2;2020-02-26 00:00:00+01:00;358
uniqueUserZone;OWM Zona1;2020-02-26 00:00:00+01:00;956
uniqueUserZone;OWM Zona9;2020-02-25 00:00:00+01:00;353
uniqueUserZone;OWM Zona8;2020-02-25 00:00:00+01:00;419
uniqueUserZone;OWM Zona7;2020-02-25 00:00:00+01:00;453
uniqueUserZone;OWM Zona6;2020-02-25 00:00:00+01:00;668
uniqueUserZone;OWM Zona5;2020-02-25 00:00:00+01:00;298
